news_id,title
1,广州外贸动能充沛韧性十足
2,前2个月宁夏外贸开局良好 交出亮眼成绩单
3,福建联通上线纺织行业大模型
4,79 位纺织非遗传承人上榜第六批国家级非遗代表性传承人名单
5,党政主官会见全国人大代表 为德安纺织产业带来怎样的“政策包”
6,全产业链革新！汕头纺织服装产业集群加快升级
7,1-2月东莞市进出口货物总值同比增长21.7%！跑赢全国全省
8,2025海内外纺织服装供应链合作大会将于3月24日在昆山启幕
9,汕头：纺织产业集群加快蝶变升级 锻造国际竞争新优势
10,泰安市纺织服装产业逐“绿”前行 向“新”出发
11,汕头将建设纺织服装产业新“四大工程”
12,全方位提振消费顶层方案出台，纺织业应瞄准消费品质提升！
13,纺织服装行业智慧焕新
14,2024年我国麻纺织行业经济运行分析
15,1—2月江苏省货物贸易实现正增长
16,福州跨境电商出口迎来“开门红”
17,Material X沪上峰会：未来纺织材料进化论
18,未来材料X碳链追踪X循环再生——2025纺织业可持续创新方程式
19,中国纺联徐迎新副会长率团参加“亚洲地区可持续纺织网络”会议
20,绍兴纺织新材料新局！筹备会圆满收官
21,宜宾市“引智建群”发展特色纺织产业
22,新疆塔城地区加快推进纺织产业转型升级
23,今年前两个月青海省进出口增速居全国首位
24,前2个月河南外贸进出口增长26.4% 增速高于全国 居中部地区首位
25,纺织商会曹甲昌会长赴上海调研
26,2025年1—2月全国吸收外资1712.1亿元人民币
27,GB/T 17591-2025《阻燃织物》等29项纺织领域国家标准发布
28,三明纺织消费名品四链融合对接会举行
29,绍兴企业抱团参加2025中国纺联春季联展
30,产业流通首场“AI+”对话会举办 共探AI赋能革新之道
33,2025年度纺织行业先进技术成果开始申报
34,针织行业“十五五”规划研讨会在上海召开
35,第六批国家级非遗代表性传承人公布，纺织类 79 人
36,电商交易三项国际标准发布 首次系统构建全链条电商交易保障框架
37,中国纺联与中国财贸轻纺烟草工会联席会议举行
39,孙瑞哲：在“服务国家、服务社会、服务群众、服务行业”中思考推进产业工人队伍建设
40,2025年1-2月纺织服装累计出口428.8亿美元
42,今年前两个月天津市外贸进出口超1200亿元
43,宿迁：科技赋能 纺织产业逐“绿”前行
49,《纤维微塑料的测定 显微镜计数法》团体标准发布实施
50,安庆今年力争纺织服装产业产值达225亿元以上
51,吴江召开跨境电商高质量发展工作推进会
52,挑战与机遇并存！2025中国纺织外贸破浪前行
54,今年前2个月东莞外贸增速21.7%
55,2024年上海外高桥保税区进出口总值再破万亿元
56,真诚务实、互利共赢，美国威富集团与中国纺联座谈交流
57,福建联通融合DeepSeek上线纺织行业大模型
58,老厂房成文旅新地标，青岛纺织谷蝶变“重生”
